Accuracy,Precision,Recall,F1-Score,ROC-AUC,Model,Balancing,Selection_Score
0.7636621717530163,0.5419222903885481,0.7085561497326203,0.6141367323290846,0.833206747784753,Logistic Regression,SMOTE,1.5417628975173732
0.7047551454932577,0.45353982300884954,0.5481283422459893,0.4963680387409201,0.6543039086517348,Decision Tree,SMOTE,1.202432250897724
0.7686302342086586,0.5547945205479452,0.6497326203208557,0.5985221674876847,0.8184827817820145,Random Forest,SMOTE,1.4682154021028702
0.7650816181689141,0.5480984340044742,0.6550802139037433,0.5968331303288672,0.8108876488671886,XGBoost,SMOTE,1.4659678627709318
0.7636621717530163,0.5431578947368421,0.6898395721925134,0.607773851590106,0.8306918287736702,LightGBM,SMOTE,1.5205314009661834
0.7019162526614621,0.4667630057803468,0.8636363636363636,0.6060037523452158,0.8320545609548167,Logistic Regression,SMOTEENN,1.6956909245911804
0.7083037615330021,0.4706814580031696,0.7941176470588235,0.591044776119403,0.7357061665245808,Decision Tree,SMOTEENN,1.5298238135834041
0.7203690560681334,0.4847094801223242,0.8475935828877005,0.6167315175097277,0.8348678601875533,Random Forest,SMOTEENN,1.6824614430752538
0.71611071682044,0.47943037974683544,0.8101604278074866,0.6023856858846919,0.8272559353122013,XGBoost,SMOTEENN,1.637416363119688
0.7239176721078779,0.4883720930232558,0.8422459893048129,0.6182531894013739,0.8321966467746519,LightGBM,SMOTEENN,1.6744426360794646
